file_path,metadata
EPA_Sanitary_Sewer_Evaluation_9100WGB6.pdf,"{""doc_type"":""regulation"",""agency"":""EPA"",""jurisdiction"":""US"",""program"":""None"",""topic"":[""sewer_system_evaluation__what_it_is"",""the_methodology_of_sewer_system_evaluation"",""a_patterned_interviews"",""b_sanitary_and_storm_sewer_map_study"",""questions_and_comments"",""phase_ii_field_investigation_and_survey"",""a_physical_survey_and_groundwater_analysis"",""c_prepare_engineering_report_and_analysis""],""citation"":"""",""effective_date"":""1972-10-18"",""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
2014_CFR_40-35.927-2_Grant_Amendments.pdf,"{""doc_type"":""regulation"",""agency"":""EPA"",""jurisdiction"":""US"",""program"":""None"",""topic"":[""_35927_1_infiltrationinflow_analysis"",""_35927_2_sewer_system_evaluation_survey"",""_35927_3_rehabilitation"",""_35927_4_sewer_use_ordinance""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
EPA_Infiltration_Inflow_Review.pdf,"{""doc_type"":""regulation"",""agency"":""EPA"",""jurisdiction"":""US"",""program"":""None"",""topic"":[""state_and_local_design_requirements"",""chapter_4_rdii_prediction_methods"",""national_wastewater_infrastructure_condition_and_problem"",""problems_caused_by_ii"",""causes_of_ii"",""cost_effective_ii_control"",""cooperative_research_and_development_agreement"",""rainfall_derived_infiltrationinflow_rdii""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
EPA_Guide_Estimating_Infiltration_Inflow.pdf,"{""doc_type"":""regulation"",""agency"":""EPA"",""jurisdiction"":""US"",""program"":""SRF"",""topic"":[""background"",""estimating_inflow"",""estimating_infiltration_and_inflow_ii""],""citation"":"""",""effective_date"":""2014-06-01"",""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
1985_EPA_Guide_Infiltration_Inflow.pdf,"{""doc_type"":""regulation"",""agency"":""EPA"",""jurisdiction"":""US"",""program"":""None"",""topic"":[""determination_of_non_excessive_infiltration"",""determination_of_non_excessive_inflow"",""summary""],""citation"":"""",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
2025_CFR_40-35.2120_Grant_Regulations.pdf,"{""doc_type"":""regulation"",""agency"":""EPA"",""jurisdiction"":""US"",""program"":""None"",""topic"":[""chapter_i_environmental_protection_agency"",""subchapter_b_grants_and_other_federal_assistance""],""citation"":""2 CFR 200; 40 CFR 35.2120"",""effective_date"":""1984-02-17"",""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
2010_EPA_Permit_Writers_Manual.pdf,"{""doc_type"":""regulation"",""agency"":""WA Ecology"",""jurisdiction"":""US"",""program"":""USDA RD"",""topic"":[""national_pollutant_discharge_elimination_system_npdes_permit_writers_manual"",""introduction_to_the_manual"",""chapter_1_development_of_the_clean_water_act_and_the_npdes_program"",""chapter_2_regulatory_framework_and_program_areas_of_the_npdes_program"",""chapter_3_overview_of_the_npdes_permitting_process"",""chapter_4_npdes_permit_application_process"",""form_2f_stormwater_discharges_associated_with_industrial_activities"",""requirements_for_npdes_general_permits""],""citation"":""33 CFR 153.10; 40 CFR 122.2; 40 CFR 122.26; 40 CFR 122.3; 40 CFR 122.44; 40 CFR 124.2; 40 CFR 412.35; 40 CFR 420.14; 40 CFR 430.25; 40 CFR 432; 40 CFR 434.11; 40 CFR 438.15; 40 CFR 439.15; 40 CFR 442; 40 CFR 58; 50 CFR 600.905"",""effective_date"":null,""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
2023_CFR_40-503_Biosolids_Standards.pdf,"{""doc_type"":""regulation"",""agency"":""EPA"",""jurisdiction"":""US"",""program"":""None"",""topic"":[""_5032_compliance_period"",""_5033_permits_and_direct_enforceability"",""_5034_relationship_to_other_regulations"",""_5035_additional_or_more_stringent_requirements"",""_5036_exclusions"",""_5037_requirement_for_a_person_who_prepares_sewage_sludge"",""_5038_sampling_and_analysis"",""b_methods""],""citation"":""40 CFR 122.2; 40 CFR 122.21; 40 CFR 122.22; 40 CFR 127.16; 40 CFR 127.24; 40 CFR 141.62; 40 CFR 258.2; 40 CFR 501.2; 40 CFR 503.41; 40 CFR 51.100"",""effective_date"":""1993-02-19"",""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
EPA_Guide_Part503_Biosolids_Rule.pdf,"{""doc_type"":""regulation"",""agency"":""WA Ecology"",""jurisdiction"":""US"",""program"":""None"",""topic"":[""chapter_one_use_or_disposal_of_sewage_sludge_biosolids"",""chapter_two_land_application_of_biosolids"",""chapter_three_surface_disposal_of_biosolids"",""chapter_five_pathogen_and_vector_attraction_reduction_requirements"",""chapter_six_sampling_and_analysis"",""appendix_a_permit_application_requirements"",""appendix_b_federal_and_state_biosolids_contacts"",""appendix_c_us_department_of_the_interior_fish_and_wildlife_service_regional_contacts""],""citation"":""40 CFR 403.10; 40 CFR 50.12; 40 CFR 51.100; 50 CFR 17.11"",""effective_date"":""1993-03-22"",""version"":""from_md"",""is_superseded"":false,""quality"":""gold""}"
